COUNTY,NEIGHBOR_1,NEIGHBOR_2,NEIGHBOR_3,NEIGHBOR_4,NEIGHBOR_5,NEIGHBOR_6,NEIGHBOR_7,NEIGHBOR_8,NEIGHBOR_9
Adams,Allen,Wells,Jay,,,,,,
Allen,DeKalb,Noble,Whitley,Huntington,Wells,Adams,,,
Bartholomew,Brown,Johnson,Shelby,Decatur,Jennings,Jackson,,,
Benton,Newton,Jasper,White,Tippecanoe,Warren,,,,
Blackford,Grant,Wells,Jay,Delaware,,,,,
Boone,Montgomery,Clinton,Hamilton,Marion,Hendricks,,,,
Brown,Monroe,Morgan,Johnson,Bartholomew,Jackson,,,,
Carroll,Tippecanoe,White,Cass,Howard,Clinton,,,,
Cass,White,Pulaski,Fulton,Miami,Howard,Carroll,,,
Clark,Floyd,Washington,Scott,Jefferson,,,,,
Clay,Vigo,Parke,Putnam,Owen,Greene,Sullivan,,,
Clinton,Tippecanoe,Carroll,Howard,Tipton,Hamilton,Boone,Montgomery,,
Crawford,Perry,Dubois,Orange,Washington,Harrison,,,,
Daviess,Knox,Greene,Martin,Dubois,Pike,,,,
Dearborn,Ripley,Franklin,Ohio,Switzerland,,,,,
Decatur,Bartholomew,Shelby,Rush,Franklin,Ripley,Jennings,,,
De Kalb,Steuben,Noble,Allen,LaGrange,,,,,
Delaware,Madison,Grant,Blackford,Jay,Randolph,Henry,,,
Dubois,Pike,Daviess,Martin,Orange,Crawford,Perry,Spencer,Warrick,
Elkhart,St Joseph,Marhsall,Kosciusko,Noble,LaGrange,,,,
Fayette,Rush,Henry,Wane,Union,Franklin,,,,
Floyd,Harrison,Washington,Clark,,,,,,
Fountain,Vermillion,Warren,Tippecanoe,Montgomery,Parke,,,,
Franklin,Dearborn,Ripley,Decatur,Rush,Fayette,Union,,,
Fulton,Pulaski,Starke,Marshall,Kosciusko,Wabash,Miami,Cass,,
Gibson,Posey,Vanderburgh,Warrick,Pike,Knox,,,,
Grant,Howard,Miami,Wabash,Huntington,Wells,Blackford,Delaware,Madison,Tipton
Greene,Sullivan,Vlay,Owen,Monroe,Lawrence,Martin,Daviess,Knox,
Hamilton,Boone,Clinton,Tipton,Madison,Hancock,Marion,,,
Hancock,Marion,Hamilton,Madison,Henry,Rush,Shelby,,,
Harrison,Crawford,Washington,Floyd,,,,,,
Hendricks,Putnam,Montgomery,Boone,Marion,Morgan,,,,
Henry,Hancock,Madison,Delaware,Randolph,Wayne,Fayette,Rush,,
Howard,Clinton,Carroll,Cass,Miami,Grant,Tipton,,,
Huntington,Grant,Wabash,Whitley,Allen,Wells,,,,
Jackson,Lawrence,Monroe,Brown,Bartholomew,Jennings,Scott,Washington,,
Jasper,Newton,Lake,Porter,LaPorte,Starke,Pulaski,White,Benton,
Jay,Randolph,Delaware,Blackford,Wells,Adams,,,,
Jefferson,Clark,Scott,Jennings,Ripley,Switzerland,,,,
Jennings,Scott,Jackson,Bartholomew,Decatur,Ripley,Jefferson,,,
Johnson,Brown,Morgan,Marion,Hancock,Shelby,Bartholomew,,,
Knox,Gibson,Pike,Daviess,Greene,Sullivan,,,,
Kosciusko,Marshall,Elkhart,Noble,Whitley,Wabash,Fulton,,,
LaGrange,Elkhart,Noble,Steuben,,,,,,
Lake,Porter,Newton,Jasper,,,,,,
La Porte,Porter,Starke,St Joseph,Jasper,,,,,
Lawrence,Martin,Greene,Monroe,Jackson,Washington,Orange,,,
Madison,Hamilton,Tipton,Grant,Delaware,Henry,Hancock,,,
Marion,Boone,Hamilton,Hancock,Shelby,Johnson,Morgan,Hendricks,,
Marshall,Starke,St Joseph,Elkhart,Kosciusko,Fulton,Pulaski,,,
Martin,Daviess,Greene,Lawrence,Orange,Dubois,,,,
Miami,Cass,Fulton,Wabash,Grant,Howard,,,,
Monroe,Greene,Owen,Morgan,Brown,Jackson,Lawrence,,,
Montgomery,Putnam,Parke,Fountain,Tippecanoe,Clinton,Boone,Hendricks,,
Morgan,Owen,Putnam,Hendricks,Marion,Johnson,Brown,Monroe,,
Newton,Lake,Jasper,Benton,,,,,,
Noble,Elkhart,LaGrange,Steuben,DeKalb,Allen,Whitley,Kosciusko,,
Ohio,Switzerland,Ripley,Dearborn,,,,,,
Orange,Dubois,Martin,Lawrence,Washington,Crawford,,,,
Owen,Greene,Clay,Putnam,Morgan,Monroe,,,,
Parke,Vermillion,Fountain,Montgomery,Putnam,Clay,Vigo,,,
Perry,Spencer,Dubois,Crawford,,,,,,
Pike,Warrick,Gibson,Knox,Daviess,Dubois,,,,
Porter,Lake,Jasper,Starke,LaPorte,,,,,
Posey,Gibson,Vanderburgh,,,,,,,
Pulaski,Jasper,Starke,Marshall,Fulton,Cass,White,,,
Putnam,Clay,Parke,Montgomery,Hendricks,Morgan,Owen,,,
Randolph,Wayne,Henry,Delaware,Jay,,,,,
Ripley,Jennings,Decatur,Franklin,Dearborn,Ohio,Switzerland,Jefferson,,
Rush,Shelby,Hancokc,Henry,Fayette,Franklin,Decatur,,,
St. Joseph,LaPorte,Starke,Marshall,Elkhart,,,,,
Scott,Clark,Washington,Jackson,Jennings,Jefferson,,,,
Shelby,Johnson,Marion,Hanock,Rush,Decatur,Bartholomew,,,
Spencer,Warrick,Dubois,Perry,,,,,,
Starke,Porter,LaPorte,St Joseph,Marshall,Fulton,Pulaski,Jasper,,
Steuben,LaGrange,Noble,DeKalb,,,,,,
Sullivan,Vigo,Clay,Greene,Knox,,,,,
Switzerland,Jefferson,Ripley,Dearborn,Ohio,,,,,
Tippecanoe,Fountain,Warren,Benton,White,Carroll,Clinton,Montgomery,,
Tipton,Clinton,Howard,Grant,Madison,Hamilton,,,,
Union,Franklin,Fayette,Wayne,,,,,,
Vanderburgh,Posey,Gibson,Warrick,,,,,,
Vermillion,Warren,Fountain,Parke,Vigo,,,,,
Vigo,Vermillion,Parke,Clay,Greene,Sullivan,,,,
Wabash,Miami,Fulton,Kosciusko,Whitley,Huntington,Grant,,,
Warren,Benton,Tippecanoe,Fountain,Vermillion,,,,,
Warrick,Vanderburgh,Gibson,Pike,Dubois,Spencer,,,,
Washington,Orange,Lawrence,Jackson,Scott,Clark,Floyd,Harrison,Crawford,
Wayne,Union,Fayette,Henry,Randolph,,,,,
Wells,Blackford,Grant,Huntington,Allen,Adams,Jay,,,
White,Benton,Jasper,Pulaski,Cass,Carroll,Tippecanoe,,,
Whitley,Kosciusko,Noble,Allen,Huntington,Wabash,,,,